name_with_owner,name,date,release_date,release_name,release_url
apache/openoffice,AOO4111GA,2021-09-20 06:28:56+00:00,,,
apache/shardingsphere-example,4.0.0,2020-01-13 08:24:42+00:00,,,
apache/airflow-site,0.0.6,2021-08-19 00:52:09+00:00,2021-08-19 00:52:09+00:00,2022-01-24 01:17:42,https://github.com/apache/airflow-site/releases/tag/0.0.6
apache/parquet-mr,apache-parquet-1.12.2,,,,
apache/httpcomponents-client,rel/v5.1.3,2022-01-27 12:48:27+00:00,,,
apache/polygene-java,3.0.0,,,,
apache/subversion,1.14.1,2021-02-04 12:29:37+00:00,,,
apache/arrow-site,,,,,
apache/couchdb,3.2.1,2021-11-03 01:01:20+00:00,,,
apache/shardingsphere-doc,,,,,
apache/maven-compiler-plugin,maven-compiler-plugin-3.10.0,2022-02-11 08:11:13+00:00,2022-01-09 12:19:09+00:00,3.9.0,https://github.com/apache/maven-compiler-plugin/releases/tag/maven-compiler-plugin-3.9.0
apache/ctakes,DeepPhe.checkpoint.v1,2017-10-02 18:09:16+00:00,,,
apache/royale-compiler,org.apache.royale.compiler-0.9.9-rc1,2022-02-13 07:54:44+00:00,,,
apache/eagle,v0.5.0,2017-11-23 15:49:26+00:00,,,
apache/wicket,rel/wicket-9.8.0,2022-02-03 13:10:18+00:00,,,
apache/mahout,mahout-14.1,2020-09-11 16:35:11+00:00,,,
apache/nifi,rel/nifi-1.15.3,2022-01-13 18:04:57+00:00,,,
apache/dolphinscheduler,2.0.3,2022-01-20 08:02:58+00:00,2022-01-20 08:03:08+00:00,2.0.3-release,https://github.com/apache/dolphinscheduler/releases/tag/2.0.3
apache/ambari,release-2.7.6,2021-11-11 12:07:58+00:00,,,
apache/apisix-docker,v1.x,2020-10-29 10:49:25+00:00,2020-10-29 10:49:25+00:00,The source code for versions 0.9 ~ 1.5,https://github.com/apache/apisix-docker/releases/tag/v1.x
